total,l1,l2,l3,l1r
279,4,11,8,0
280,4,11,8,0
281,4,11,8,0
282,4,11,8,0
283,4,11,8,0
284,4,11,8,0
285,4,11,8,0
286,4,11,8,0
287,4,11,8,0
288,4,11,8,0
289,4,11,8,0
290,4,11,8,0
291,4,11,8,0
292,4,11,8,0
293,4,11,8,0
294,4,11,8,0
295,4,11,8,0
296,4,11,8,0
297,4,11,8,0
298,4,11,8,0
299,4,11,8,0
300,4,11,8,0
301,4,11,8,0
302,4,11,8,0
303,4,11,8,0
304,4,11,8,0
305,4,11,8,0
306,4,11,8,0
307,4,11,8,0
308,4,11,8,0
309,4,11,8,0
310,4,11,8,0
311,4,11,8,0
312,4,11,8,0
313,4,11,8,0
314,4,11,8,0
315,4,11,8,0
316,4,11,8,0
317,4,11,8,0
318,4,11,8,0
319,4,11,8,0
320,4,11,8,0
321,4,11,8,0
322,4,11,8,0
323,4,11,8,0
324,4,11,8,0
325,4,11,8,0
326,4,11,8,0
327,4,11,8,0
328,4,11,8,0
329,4,11,8,0
330,4,11,8,0
331,4,11,8,0
332,4,11,8,0
333,4,11,8,0
334,4,11,8,0
335,4,11,8,0
336,4,11,8,0
337,4,11,8,0
338,4,11,8,0
339,4,11,8,0
340,4,11,8,0
341,4,11,8,0
342,4,11,8,0
343,4,11,8,0
344,4,11,8,0
345,4,11,8,0
346,4,11,8,0
347,4,11,8,0
348,4,11,8,0
349,4,11,8,0
350,4,11,8,0
351,4,11,8,0
352,4,11,8,0
353,4,11,8,0
354,4,11,8,0
355,4,11,8,0
356,4,11,8,0
357,4,11,8,0
358,4,11,8,0
359,4,11,8,0
360,4,11,8,0
361,4,11,8,0
362,4,11,8,0
363,4,11,8,0
364,4,11,8,0
365,4,11,8,0
366,4,11,8,0
367,4,11,8,0
368,4,11,8,0
369,4,11,8,0
370,4,11,8,0
371,4,11,8,0
372,4,11,8,0
373,4,11,8,0
374,4,11,8,0
375,4,11,8,0
376,4,11,8,0
377,4,11,8,0
378,4,11,7,0
379,4,11,7,0
380,4,11,7,0
381,4,11,7,0
382,4,11,7,0
383,4,11,7,0
384,4,11,7,0
385,4,11,7,0
386,4,11,7,0
387,4,11,7,0
388,4,11,7,0
389,4,11,7,0
390,4,11,7,0
391,4,11,7,0
392,4,11,7,0
393,4,11,7,0
394,4,11,7,0
395,4,11,7,0
396,4,11,7,0
397,4,11,7,0
398,4,11,7,0
399,4,11,7,0
400,4,11,7,0
401,4,11,7,0
402,4,11,7,0
403,4,11,7,0
404,4,11,7,0
405,4,11,7,0
406,4,11,7,0
407,4,11,7,0
408,4,11,7,0
409,4,11,7,0
410,4,11,7,0
411,4,11,7,0
412,4,11,7,0
413,4,11,7,0
414,4,11,7,0
415,4,11,7,0
416,4,11,7,0
417,4,11,7,0
418,4,11,7,0
419,4,11,7,0
420,4,11,7,0
421,4,11,7,0
422,4,11,7,0
423,4,11,7,0
424,4,11,7,0
425,4,11,7,0
426,4,11,7,0
427,4,11,7,0
428,4,11,7,0
429,4,11,7,0
430,4,11,7,0
431,4,11,7,0
432,4,11,7,0
433,4,11,7,0
434,4,11,7,0
435,4,11,7,0
436,4,11,7,0
437,4,11,7,0
438,4,11,7,0
439,4,11,7,0
440,4,11,7,0
441,4,11,7,0
442,4,11,7,0
443,4,11,7,0
444,4,11,7,0
445,4,11,7,0
446,4,11,7,0
447,4,11,7,0
448,4,11,7,0
449,4,11,7,0
450,4,11,7,0
451,4,11,7,0
452,4,11,7,0
453,4,11,7,0
454,4,11,7,0
455,4,11,7,0
456,4,11,7,0
457,4,11,7,0
458,4,11,7,0
459,4,11,7,0
460,4,11,7,0
461,4,11,7,0
462,4,11,7,0
463,4,11,7,0
464,4,11,7,0
465,4,11,7,0
466,4,11,7,0
467,4,11,7,0
468,4,11,7,0
469,4,11,7,0
470,4,11,7,0
471,4,11,7,0
472,4,11,7,0
473,4,11,7,0
474,4,11,7,0
475,4,11,7,0
476,4,11,7,0
477,4,11,7,0
478,4,11,7,0
479,4,11,7,0
480,4,11,7,0
481,4,11,7,0
482,4,11,7,0
483,4,11,7,0
484,4,11,7,0
485,4,11,7,0
486,4,11,7,0
487,4,11,7,0
488,4,11,7,0
489,4,11,7,0
490,4,11,7,0
491,4,11,7,0
492,4,11,7,0
493,4,11,7,0
494,4,11,7,0
495,4,11,7,0
496,4,11,7,0
497,4,11,7,0
498,4,11,7,0
499,4,11,7,0
500,4,11,7,0
501,4,11,7,0
502,4,11,7,0
503,4,11,7,0
504,4,11,7,0
505,4,11,7,0
506,4,11,7,0
507,4,11,7,0
508,4,11,7,0
509,4,11,7,0
510,4,11,7,0
511,4,11,7,0
512,4,11,7,0
513,4,11,7,0
