total,l1,l2,l3,l1r
213,6,10,5,0
214,6,10,5,0
215,6,10,5,0
216,6,10,5,0
217,6,10,5,0
218,6,10,5,0
219,6,10,5,0
220,6,10,5,0
221,6,10,5,0
222,6,10,5,0
223,6,10,5,0
224,6,10,5,0
225,6,10,5,0
226,6,10,5,0
227,6,10,5,0
228,6,10,5,0
229,6,10,5,0
230,6,10,5,0
231,6,10,5,0
232,6,10,5,0
233,6,10,5,0
234,6,10,5,0
235,6,10,5,0
236,6,10,5,0
237,6,10,5,0
238,6,10,5,0
239,6,10,5,0
240,6,10,5,0
241,6,10,5,0
242,6,10,5,0
243,6,10,5,0
244,6,10,5,0
245,6,10,5,0
246,6,10,5,0
247,6,10,5,0
248,6,10,5,0
249,6,10,5,0
250,6,10,5,0
251,6,10,5,0
252,6,10,5,0
253,6,10,5,0
254,6,10,5,0
255,6,10,5,0
256,6,10,5,0
257,6,10,5,0
258,6,10,5,0
259,6,10,5,0
260,6,10,5,0
261,6,10,5,0
262,6,10,5,0
263,6,10,5,0
264,6,10,5,0
265,6,10,5,0
266,6,10,5,0
267,6,10,5,0
268,6,10,5,0
269,6,10,5,0
270,6,10,5,0
271,6,10,5,0
272,6,10,5,0
273,6,10,5,0
274,6,10,5,0
275,6,10,5,0
276,6,10,5,0
277,6,10,5,0
278,6,10,5,0
279,6,10,5,0
280,6,10,5,0
281,6,10,5,0
282,6,10,5,0
283,6,10,5,0
284,6,10,5,0
285,6,10,5,0
286,6,10,5,0
287,6,10,5,0
288,6,10,5,0
289,6,10,5,0
290,6,10,5,0
291,6,10,5,0
292,6,10,5,0
293,6,10,5,0
294,6,10,5,0
295,6,10,5,0
296,6,10,5,0
297,6,10,5,0
298,6,10,5,0
299,6,10,5,0
300,6,10,5,0
301,6,10,5,0
302,6,10,5,0
303,6,10,5,0
304,6,10,5,0
305,6,10,5,0
306,6,10,5,0
307,6,10,5,0
308,6,10,5,0
309,6,10,5,0
310,6,10,5,0
311,6,10,5,0
312,6,10,5,0
313,6,10,5,0
314,6,10,5,0
315,6,10,5,0
316,6,10,5,0
317,6,10,5,0
318,6,10,5,0
319,6,10,5,0
320,6,10,5,0
321,6,10,5,0
322,6,10,5,0
323,6,10,5,0
324,6,10,5,0
325,6,10,5,0
326,6,10,5,0
327,6,10,5,0
328,6,10,5,0
329,6,10,5,0
330,6,10,5,0
331,6,10,5,0
332,6,10,5,0
333,6,10,5,0
334,6,10,5,0
335,6,10,5,0
336,6,10,5,0
337,6,10,5,0
338,6,10,5,0
339,6,10,5,0
340,6,10,5,0
341,6,10,5,0
342,6,10,5,0
343,6,10,5,0
344,6,10,5,0
345,6,10,5,0
346,6,10,5,0
347,6,10,5,0
348,6,10,5,0
349,6,10,5,0
350,6,10,5,0
351,6,10,5,0
352,6,10,5,0
353,6,10,5,0
354,6,10,5,0
355,6,10,5,0
356,6,10,5,0
357,6,10,5,0
358,6,10,5,0
359,6,10,5,0
360,6,10,5,0
361,6,10,5,0
362,6,10,5,0
363,6,10,5,0
364,6,10,5,0
365,6,10,5,0
366,6,10,5,0
367,6,10,5,0
368,6,10,5,0
369,6,10,5,0
370,6,10,5,0
371,6,10,5,0
372,6,10,5,0
373,6,10,5,0
374,6,10,5,0
375,6,10,5,0
376,6,10,5,0
377,6,10,5,0
378,6,10,5,0
379,6,10,5,0
380,6,10,5,0
381,6,10,5,0
382,6,10,5,0
383,6,10,5,0
384,6,10,5,0
385,6,10,5,0
386,6,10,5,0
387,6,10,5,0
388,6,10,5,0
389,6,10,5,0
390,6,10,5,0
391,6,10,5,0
392,6,10,5,0
393,6,10,5,0
394,6,10,5,0
395,6,10,5,0
396,6,10,5,0
397,6,10,5,0
398,6,10,5,0
399,6,10,5,0
400,6,10,5,0
401,6,10,5,0
402,6,10,5,0
403,6,10,5,0
404,6,10,5,0
405,6,10,5,0
406,6,10,5,0
407,6,10,5,0
408,6,10,5,0
409,6,10,5,0
410,6,10,5,0
411,6,10,5,0
412,6,10,5,0
413,6,10,5,0
414,6,10,5,0
415,6,10,5,0
416,6,10,5,0
417,6,10,5,0
418,6,10,5,0
419,6,10,5,0
420,6,10,5,0
421,6,10,5,0
422,6,10,5,0
423,6,10,5,0
424,6,10,5,0
425,6,10,5,0
426,6,10,5,0
427,6,10,5,0
428,6,10,5,0
429,6,10,5,0
430,6,10,5,0
431,6,10,5,0
432,6,10,5,0
433,6,10,5,0
434,6,10,5,0
435,6,10,5,0
436,6,10,5,0
437,6,10,5,0
438,6,10,5,0
439,6,10,5,0
440,6,10,5,0
441,6,10,5,0
442,6,10,5,0
443,6,10,5,0
444,6,10,5,0
445,6,10,5,0
446,6,10,5,0
447,6,10,5,0
448,6,10,5,0
449,6,10,5,0
450,6,10,5,0
451,6,10,5,0
452,6,10,5,0
453,6,10,5,0
454,6,10,5,0
455,6,10,5,0
456,6,10,5,0
457,6,10,5,0
458,6,10,5,0
459,6,10,5,0
460,6,10,5,0
461,6,10,5,0
462,6,10,5,0
463,6,10,5,0
464,6,10,5,0
465,6,10,5,0
466,6,10,5,0
467,6,10,5,0
468,6,10,5,0
469,6,10,5,0
470,6,10,5,0
471,6,10,5,0
472,6,10,5,0
473,6,10,5,0
474,6,10,5,0
475,6,10,5,0
476,6,10,5,0
477,6,10,5,0
478,6,10,5,0
479,6,10,5,0
480,6,10,5,0
481,6,10,5,0
482,6,10,5,0
483,6,10,5,0
484,6,10,5,0
485,6,10,5,0
486,6,10,5,0
487,6,10,5,0
488,6,10,5,0
489,6,10,5,0
490,6,10,5,0
491,6,10,5,0
492,6,10,5,0
493,6,10,5,0
494,6,10,5,0
495,6,10,5,0
496,6,10,5,0
497,6,10,5,0
498,6,10,5,0
499,6,10,5,0
500,6,10,5,0
501,6,10,5,0
502,6,10,5,0
503,6,10,5,0
504,6,10,5,0
505,6,10,5,0
506,6,10,5,0
507,6,10,5,0
508,6,10,5,0
509,6,10,5,0
510,6,10,5,0
511,6,10,5,0
512,6,10,5,0
513,6,10,5,0
514,6,10,5,0
515,6,10,5,0
516,6,10,5,0
517,6,10,5,0
518,6,10,5,0
519,6,10,5,0
520,6,10,5,0
521,6,10,5,0
522,6,10,5,0
523,6,10,5,0
524,6,10,5,0
525,6,10,5,0
526,6,10,5,0
527,6,10,5,0
528,6,10,5,0
529,6,10,5,0
530,6,10,5,0
531,6,10,5,0
532,6,10,5,0
533,6,10,5,0
534,6,10,5,0
535,6,10,5,0
536,6,10,5,0
537,6,10,5,0
538,6,10,5,0
539,6,10,5,0
540,6,10,5,0
541,6,10,5,0
542,6,10,5,0
543,6,10,5,0
544,6,10,5,0
545,6,10,5,0
546,6,10,5,0
547,6,10,5,0
548,6,10,5,0
549,6,10,5,0
550,6,10,5,0
551,6,10,5,0
552,6,10,5,0
553,6,10,5,0
554,6,10,5,0
555,6,10,5,0
556,6,10,5,0
557,6,10,5,0
558,6,10,5,0
559,6,10,5,0
560,6,10,5,0
561,6,10,5,0
562,6,10,5,0
563,6,10,5,0
564,6,10,5,0
565,6,10,5,0
566,6,10,5,0
567,6,10,5,0
568,6,10,5,0
569,6,10,5,0
570,6,10,5,0
571,6,10,5,0
572,6,10,5,0
573,6,10,5,0
574,6,10,5,0
575,6,10,5,0
576,6,10,5,0
577,6,10,5,0
578,6,10,5,0
579,6,10,5,0
580,6,10,5,0
581,6,10,5,0
582,6,10,5,0
583,6,10,5,0
584,6,10,5,0
585,6,10,5,0
586,6,10,5,0
587,6,10,5,0
588,6,10,5,0
589,6,10,5,0
590,6,10,5,0
591,6,10,5,0
592,6,10,5,0
593,6,10,5,0
594,6,10,5,0
595,6,10,5,0
596,6,10,5,0
597,6,10,5,0
598,6,10,5,0
599,6,10,5,0
600,6,10,5,0
601,6,10,5,0
602,6,10,5,0
603,6,10,5,0
604,6,10,5,0
605,6,10,5,0
606,6,10,5,0
607,6,10,5,0
608,6,10,5,0
609,6,10,5,0
610,6,10,5,0
611,6,10,5,0
612,6,10,5,0
613,6,10,5,0
614,6,10,5,0
615,6,10,5,0
616,6,10,5,0
617,6,10,5,0
618,6,10,5,0
619,6,10,5,0
620,6,10,5,0
621,6,10,5,0
622,6,10,5,0
623,6,10,5,0
624,6,10,5,0
625,6,10,5,0
626,6,10,5,0
627,6,10,5,0
628,6,10,5,0
629,6,10,5,0
630,6,10,5,0
631,6,10,5,0
632,6,10,5,0
633,6,10,5,0
634,6,10,5,0
635,6,10,5,0
636,6,10,5,0
637,6,10,5,0
638,6,10,5,0
639,6,10,5,0
640,6,10,5,0
641,6,10,5,0
642,6,10,5,0
643,6,10,5,0
644,6,10,5,0
645,6,10,5,0
646,6,10,5,0
647,6,10,5,0
648,6,10,5,0
649,6,10,5,0
650,6,10,5,0
651,6,10,5,0
652,6,10,5,0
653,6,10,5,0
654,6,10,5,0
655,6,10,5,0
656,6,10,5,0
657,6,10,5,0
658,6,10,5,0
659,6,10,5,0
660,6,10,5,0
661,6,10,5,0
662,6,10,5,0
663,6,10,5,0
664,6,10,5,0
665,6,10,5,0
666,6,10,5,0
667,6,10,5,0
668,6,10,5,0
669,6,10,5,0
670,6,10,5,0
671,6,10,5,0
672,6,10,5,0
673,6,10,5,0
674,6,10,5,0
675,6,10,5,0
676,6,10,5,0
677,6,10,5,0
678,6,10,5,0
679,6,10,5,0
680,6,10,5,0
681,6,10,5,0
682,6,10,5,0
683,6,10,5,0
684,6,10,5,0
685,6,10,5,0
686,6,10,5,0
687,6,10,5,0
688,6,10,5,0
689,6,10,5,0
690,6,10,5,0
691,6,10,5,0
692,6,10,5,0
693,6,10,5,0
694,6,10,5,0
695,6,10,5,0
696,6,10,5,0
697,6,10,5,0
698,6,10,5,0
699,6,10,5,0
700,6,10,5,0
701,6,10,5,0
702,6,10,5,0
703,6,10,5,0
704,6,10,5,0
705,6,10,5,0
706,6,10,5,0
707,6,10,5,0
708,6,10,5,0
709,6,10,5,0
710,6,10,5,0
711,6,10,5,0
712,6,10,5,0
713,6,10,5,0
714,6,10,5,0
715,6,10,5,0
716,6,10,5,0
717,6,10,5,0
718,6,10,5,0
719,6,10,5,0
720,6,10,5,0
721,6,10,5,0
722,6,10,5,0
723,6,10,5,0
724,6,10,5,0
725,6,10,5,0
726,6,10,5,0
727,6,10,5,0
728,6,10,5,0
729,6,10,5,0
730,6,10,5,0
731,6,10,5,0
732,6,10,5,0
733,6,10,5,0
734,6,10,5,0
735,6,10,5,0
736,6,10,5,0
737,6,10,5,0
738,6,10,5,0
739,6,10,5,0
740,6,10,5,0
741,6,10,5,0
742,6,10,5,0
743,6,10,5,0
744,6,10,5,0
745,6,10,5,0
746,6,10,5,0
747,6,10,5,0
748,6,10,5,0
