total,l1,l2,l3,l2r
319,0,14,14,1
320,0,14,14,1
321,0,14,14,1
322,0,14,14,1
323,0,14,14,1
324,0,14,14,1
325,0,14,14,1
326,0,14,14,1
327,0,14,14,1
328,0,14,14,1
329,0,14,14,1
330,0,14,14,1
331,0,14,14,1
332,0,14,14,1
333,0,14,14,1
334,0,14,14,1
335,0,14,14,1
336,0,14,14,1
337,0,14,14,1
338,0,14,14,1
339,0,14,14,1
340,0,14,14,1
341,0,14,14,1
342,0,14,14,1
343,0,14,14,1
344,0,14,14,1
345,0,14,14,1
346,0,14,14,1
347,0,14,14,1
348,0,14,14,1
349,0,14,14,1
350,0,14,14,1
351,0,14,14,1
352,0,14,14,1
353,0,13,15,2
354,0,13,15,2
355,0,13,15,2
356,0,13,15,2
357,0,13,15,2
358,0,13,15,2
359,0,13,15,2
360,0,13,15,2
361,0,13,15,2
362,0,13,15,2
363,0,13,15,2
364,0,13,15,2
365,0,13,15,2
366,0,13,15,2
367,0,13,15,2
368,0,13,15,2
369,0,13,15,2
370,0,13,15,2
371,0,13,15,2
372,0,13,15,2
373,0,13,15,2
374,0,13,15,2
375,0,13,15,2
376,0,13,15,2
377,0,13,15,2
378,0,13,15,2
379,0,13,15,2
380,0,13,15,2
381,0,13,15,2
382,0,13,15,2
383,0,13,15,2
384,0,13,15,2
385,0,13,15,2
386,0,13,15,2
387,0,13,15,2
388,0,13,15,2
389,0,13,15,2
390,0,13,15,2
391,0,13,15,2
392,0,13,15,2
393,0,13,15,2
394,0,13,15,2
395,0,13,15,2
396,0,13,15,2
397,0,13,15,2
398,0,13,15,2
399,0,13,15,2
400,0,13,15,2
401,0,13,15,2
402,0,13,15,2
403,0,13,15,2
404,0,13,15,2
405,0,13,15,2
406,0,13,15,2
407,0,13,15,2
408,0,13,15,2
409,0,13,15,2
410,0,13,15,2
411,0,13,15,2
412,0,13,15,2
413,0,13,15,2
414,0,13,15,2
415,0,13,15,2
416,0,13,15,2
417,0,13,15,2
418,0,13,15,2
419,0,13,15,2
420,0,13,15,2
421,0,13,15,2
422,0,13,15,2
423,0,13,15,2
424,0,13,15,2
425,0,13,15,2
426,0,13,15,2
427,0,13,15,2
428,0,13,15,2
429,0,13,15,2
430,0,13,15,2
431,0,13,15,2
432,0,13,15,2
433,0,13,15,2
434,0,13,15,2
435,0,13,15,2
436,0,13,15,2
437,0,13,15,2
438,0,13,15,2
439,0,13,15,2
440,0,13,15,2
441,0,13,15,2
442,0,13,15,2
443,0,13,15,2
444,0,13,15,2
445,0,13,15,2
446,0,13,15,2
447,0,13,15,2
448,0,13,15,2
449,0,13,15,2
450,0,13,15,2
451,0,13,15,2
452,0,13,15,2
453,0,13,15,2
454,0,13,15,2
455,0,13,15,2
456,0,13,15,2
457,0,13,15,2
458,0,13,15,2
459,0,13,15,2
460,0,13,15,2
461,0,13,15,2
462,0,13,15,2
463,0,13,15,2
464,0,13,15,2
465,0,13,15,2
466,0,13,15,2
467,0,13,15,2
468,0,13,15,2
469,0,13,15,2
470,0,13,15,2
471,0,13,15,2
472,0,13,15,2
473,0,13,15,2
474,0,13,15,2
475,0,13,15,2
476,0,13,15,2
477,0,13,15,2
478,0,13,15,2
479,0,13,15,2
480,0,13,15,2
481,0,13,15,2
482,0,13,15,2
483,0,13,15,2
484,0,13,15,2
485,0,13,15,2
486,0,13,15,2
487,0,13,15,2
488,0,13,15,2
489,0,13,15,2
490,0,13,15,2
491,0,13,15,2
492,0,13,15,2
493,0,13,15,2
494,0,13,15,2
495,0,13,15,2
496,0,13,15,2
497,0,13,15,2
498,0,13,15,2
499,0,13,14,2
500,0,13,14,2
501,0,13,14,2
502,0,13,14,2
503,0,13,14,2
504,0,13,14,2
505,0,13,14,2
506,0,13,14,2
507,0,13,14,2
508,0,13,14,2
509,0,13,14,2
510,0,13,14,2
511,0,13,14,2
512,0,13,14,2
513,0,13,14,2
514,0,13,14,2
515,0,13,14,2
516,0,13,14,2
517,0,13,14,2
518,0,13,14,2
519,0,13,14,2
520,0,13,14,2
521,0,13,14,2
522,0,13,14,2
523,0,13,14,2
524,0,13,14,2
525,0,13,14,2
526,0,13,14,2
527,0,13,14,2
528,0,13,14,2
529,0,13,14,2
530,0,13,14,2
531,0,13,14,2
532,0,13,14,2
533,0,13,14,2
534,0,13,14,2
535,0,13,14,2
536,0,13,14,2
