total,l1,l2,l3
399,0,23,10
400,0,23,10
401,0,23,10
402,0,23,10
403,0,23,10
404,0,23,10
405,0,23,10
406,0,23,10
407,0,23,10
408,0,23,10
409,0,23,10
410,0,23,10
411,0,23,10
412,0,23,10
413,0,23,10
414,0,23,10
415,0,23,10
416,0,23,10
417,0,23,10
418,0,23,10
419,0,23,10
420,0,23,10
421,0,23,10
422,0,23,10
423,0,23,10
424,0,23,10
425,0,23,10
426,0,23,10
427,0,23,10
428,0,23,10
429,0,23,10
430,0,23,10
431,0,23,10
432,0,23,10
433,0,23,10
434,0,23,10
435,0,23,10
436,0,23,10
437,0,23,10
438,0,23,10
439,0,23,10
440,0,23,10
441,0,23,10
442,0,23,10
443,0,23,10
444,0,23,10
445,0,23,10
446,0,23,10
447,0,23,10
448,0,23,10
449,0,23,10
450,0,23,10
451,0,23,10
452,0,23,10
453,0,23,10
454,0,23,10
455,0,23,10
456,0,23,10
457,0,23,10
458,0,23,10
459,0,23,10
460,0,23,10
461,0,23,10
462,0,23,10
463,0,23,10
464,0,23,10
465,0,23,10
466,0,23,10
467,0,23,10
468,0,23,10
469,0,23,10
470,0,23,10
471,0,23,10
472,0,23,10
473,0,23,10
474,0,23,10
475,0,23,10
476,0,23,10
477,0,23,10
478,0,23,10
479,0,23,10
480,0,23,10
481,0,23,10
482,0,23,10
483,0,23,10
484,0,23,10
485,0,23,10
486,0,23,10
487,0,23,10
488,0,23,10
489,0,23,10
490,0,23,10
491,0,23,10
492,0,23,10
493,0,23,10
494,0,23,10
495,0,23,10
496,0,23,10
497,0,23,10
498,0,23,10
499,0,23,10
500,0,23,10
501,0,23,10
502,0,23,10
503,0,23,10
504,0,23,10
505,0,23,10
506,0,23,10
507,0,23,10
508,0,23,10
509,0,23,10
510,0,23,10
511,0,23,10
512,0,23,10
513,0,23,10
514,0,23,10
515,0,23,10
516,0,23,10
517,0,23,10
518,0,23,10
519,0,23,10
520,0,23,10
521,0,23,10
522,0,23,10
523,0,23,10
524,0,23,10
525,0,23,10
526,0,23,10
527,0,23,10
528,0,23,10
529,0,23,10
530,0,23,10
531,0,23,10
532,0,23,10
533,0,23,10
534,0,23,10
535,0,23,10
536,0,23,10
537,0,23,10
538,0,23,10
539,0,23,10
540,0,23,10
541,0,23,10
542,0,23,10
543,0,23,10
544,0,23,10
545,0,23,10
546,0,23,10
547,0,23,10
548,0,23,10
549,0,23,10
550,0,23,10
551,0,23,10
552,0,23,10
553,0,23,10
554,0,23,10
555,0,23,10
556,0,23,10
557,0,23,10
558,0,23,10
559,0,23,10
560,0,23,10
561,0,23,10
562,0,23,10
563,0,23,10
564,0,23,10
565,0,23,10
566,0,23,10
567,0,23,10
568,0,23,10
569,0,23,10
570,0,23,10
571,0,23,10
572,0,23,10
573,0,23,10
574,0,23,10
575,0,23,10
576,0,23,10
577,0,23,10
578,0,23,10
579,0,23,10
580,0,23,10
581,0,23,10
582,0,23,10
583,0,23,10
584,0,23,10
585,0,23,10
586,0,23,10
587,0,23,10
588,0,23,10
589,0,23,10
590,0,23,10
591,0,23,10
592,0,23,10
593,0,23,10
594,0,23,10
595,0,23,10
596,0,23,10
597,0,23,10
598,0,23,10
599,0,23,10
600,0,23,10
601,0,23,10
602,0,23,10
603,0,23,10
604,0,23,10
605,0,23,10
606,0,23,10
607,0,23,10
608,0,23,10
609,0,23,10
610,0,23,10
611,0,23,10
612,0,23,10
613,0,23,10
614,0,23,10
615,0,23,10
616,0,23,10
617,0,23,10
618,0,23,10
619,0,23,10
620,0,23,10
621,0,23,10
622,0,23,10
623,0,23,10
624,0,23,10
625,0,23,10
626,0,23,10
627,0,23,10
628,0,23,10
629,0,23,10
630,0,23,10
631,0,23,10
632,0,23,10
633,0,23,10
634,0,23,10
635,0,23,10
636,0,23,10
637,0,23,10
638,0,23,10
639,0,23,10
640,0,23,10
641,0,23,10
642,0,23,10
643,0,23,10
644,0,23,10
645,0,23,10
646,0,23,10
647,0,23,10
648,0,23,10
649,0,23,10
650,0,23,10
651,0,23,10
652,0,23,10
653,0,23,10
654,0,23,10
655,0,23,10
656,0,23,10
657,0,23,10
658,0,23,10
659,0,23,10
660,0,23,10
661,0,23,10
662,0,23,10
663,0,23,10
664,0,23,10
665,0,23,10
666,0,23,10
667,0,23,10
668,0,23,10
669,0,23,10
670,0,23,10
671,0,23,10
672,0,23,10
673,0,23,10
674,0,23,10
675,0,23,10
676,0,23,10
677,0,23,10
678,0,23,10
679,0,23,10
680,0,23,10
681,0,23,10
682,0,23,10
683,0,23,10
684,0,23,10
685,0,23,10
686,0,23,10
687,0,23,10
688,0,23,10
689,0,23,10
690,0,23,10
691,0,23,10
692,0,23,10
693,0,23,10
694,0,23,10
695,0,23,10
696,0,23,10
697,0,23,10
698,0,23,10
699,0,23,10
700,0,23,10
701,0,23,10
702,0,23,10
703,0,23,10
704,0,23,10
705,0,23,10
706,0,23,10
707,0,23,10
708,0,23,10
709,0,23,10
710,0,23,10
711,0,23,10
712,0,23,10
713,0,23,10
714,0,23,10
715,0,23,10
716,0,23,10
717,0,23,10
718,0,23,10
719,0,23,10
720,0,23,10
721,0,23,10
722,0,23,10
723,0,23,10
724,0,23,10
725,0,23,10
726,0,23,10
727,0,23,10
728,0,23,10
729,0,23,10
730,0,23,10
731,0,23,10
732,0,23,10
733,0,23,10
734,0,23,10
735,0,23,10
736,0,23,10
737,0,23,10
738,0,23,10
739,0,23,10
740,0,23,10
741,0,23,10
742,0,23,10
743,0,23,10
744,0,23,10
745,0,23,10
746,0,23,10
747,0,23,10
748,0,23,10
749,0,23,10
750,0,23,10
751,0,23,10
752,0,23,10
753,0,23,10
754,0,23,10
755,0,23,10
756,0,23,10
757,0,23,10
758,0,23,10
759,0,23,10
760,0,22,11
761,0,22,11
762,0,22,11
763,0,22,11
764,0,22,11
765,0,22,11
766,0,22,11
767,0,22,11
768,0,22,11
769,0,22,11
770,0,22,11
771,0,22,11
772,0,22,11
773,0,22,11
774,0,22,11
775,0,22,11
776,0,22,11
777,0,22,11
778,0,22,11
779,0,22,11
780,0,22,11
781,0,22,11
782,0,22,11
783,0,22,11
784,0,22,11
785,0,22,11
786,0,22,11
787,0,22,11
788,0,22,11
789,0,22,11
790,0,22,11
791,0,22,11
792,0,22,11
793,0,22,11
794,0,22,11
795,0,22,11
796,0,22,11
797,0,22,11
798,0,22,11
799,0,22,11
800,0,22,11
801,0,22,11
802,0,22,11
803,0,22,11
804,0,22,11
805,0,22,11
806,0,22,11
807,0,22,11
808,0,22,11
809,0,22,11
810,0,22,11
811,0,22,11
812,0,22,11
813,0,22,11
814,0,22,11
815,0,22,11
816,0,22,11
817,0,22,11
818,0,22,11
819,0,22,11
820,0,22,11
821,0,22,11
822,0,22,11
823,0,22,11
824,0,22,11
825,0,22,11
826,0,22,11
827,0,22,11
828,0,22,11
829,0,22,11
830,0,22,11
831,0,22,11
832,0,22,11
833,0,22,11
834,0,22,11
835,0,22,11
836,0,22,11
837,0,22,11
838,0,22,11
839,0,22,11
840,0,22,11
841,0,22,11
842,0,22,11
843,0,22,11
844,0,22,11
845,0,22,11
846,0,22,11
847,0,22,11
848,0,22,11
849,0,22,11
850,0,22,11
851,0,22,11
852,0,22,11
853,0,22,11
854,0,22,11
855,0,22,11
856,0,22,11
857,0,22,11
858,0,22,11
859,0,22,11
860,0,22,11
861,0,22,11
862,0,22,11
863,0,22,11
864,0,22,11
865,0,22,11
866,0,22,11
867,0,22,11
868,0,22,11
869,0,22,11
870,0,22,11
871,0,22,11
872,0,22,11
873,0,22,11
874,0,22,11
875,0,22,11
876,0,22,11
877,0,22,11
878,0,22,11
879,0,22,11
880,0,22,11
881,0,22,11
882,0,22,11
883,0,22,11
884,0,22,11
885,0,22,11
886,0,22,11
887,0,22,11
888,0,22,11
889,0,22,11
890,0,22,11
891,0,22,11
892,0,22,11
893,0,22,11
894,0,22,11
895,0,22,11
896,0,22,11
897,0,22,11
898,0,22,11
899,0,22,11
900,0,22,11
901,0,22,11
902,0,22,11
903,0,22,11
904,0,22,11
905,0,22,11
906,0,22,11
907,0,22,11
908,0,22,11
909,0,22,11
910,0,22,11
911,0,22,11
912,0,22,11
913,0,22,11
914,0,22,11
915,0,22,11
916,0,22,11
917,0,22,11
918,0,22,11
919,0,22,11
920,0,22,11
921,0,22,11
922,0,22,11
923,0,22,11
924,0,22,11
925,0,22,11
926,0,22,11
927,0,22,11
928,0,22,11
929,0,22,11
930,0,22,11
931,0,22,11
932,0,22,11
933,0,22,11
934,0,22,11
935,0,22,11
936,0,22,11
937,0,22,11
938,0,22,11
939,0,22,11
940,0,22,11
941,0,22,11
942,0,22,11
943,0,22,11
944,0,22,11
945,0,22,11
946,0,22,11
947,0,22,11
948,0,22,11
949,0,22,11
950,0,22,11
951,0,22,11
952,0,22,11
953,0,22,11
954,0,22,11
955,0,22,11
956,0,22,11
957,0,22,11
958,0,22,11
959,0,22,11
960,0,22,11
961,0,22,11
962,0,22,11
963,0,22,11
964,0,22,11
965,0,22,11
966,0,22,11
967,0,22,11
968,0,22,11
969,0,22,11
970,0,22,11
971,0,22,11
972,0,22,11
973,0,22,11
974,0,22,11
975,0,22,11
976,0,22,11
977,0,22,11
978,0,22,11
979,0,22,11
980,0,22,11
981,0,22,11
982,0,22,11
983,0,22,11
984,0,22,11
985,0,22,11
986,0,22,11
987,0,22,11
988,0,22,11
989,0,22,11
990,0,22,11
991,0,22,11
992,0,22,11
993,0,22,11
994,0,22,11
995,0,22,11
996,0,22,11
997,0,22,11
998,0,22,11
999,0,22,11
1000,0,22,11
1001,0,22,11
1002,0,22,11
1003,0,22,11
1004,0,22,11
1005,0,22,11
1006,0,22,11
1007,0,22,11
1008,0,22,11
1009,0,22,11
1010,0,22,11
1011,0,22,11
1012,0,22,11
