total,l1,l2,l3,l2r
1,0,23,10,0
2,0,23,10,0
3,0,23,10,0
4,0,23,10,0
5,0,23,10,0
6,0,23,10,0
7,0,23,10,0
8,0,23,10,0
9,0,23,10,0
10,0,23,10,0
11,0,23,10,0
12,0,23,10,0
13,0,23,10,0
14,0,23,10,0
15,0,23,10,0
16,0,23,10,0
17,0,23,10,0
18,0,23,10,0
19,0,23,10,0
20,0,23,10,0
21,0,23,10,0
22,0,23,10,0
23,0,23,10,0
24,0,23,10,0
25,0,23,10,0
26,0,23,10,0
27,0,23,10,0
28,0,23,10,0
29,0,23,10,0
30,0,23,10,0
31,0,23,10,0
32,0,23,10,0
33,0,23,10,0
34,0,23,10,0
35,0,23,10,0
36,0,23,10,0
37,0,23,10,0
38,0,23,10,0
39,0,23,10,0
40,0,23,10,0
41,0,23,10,0
42,0,23,10,0
43,0,23,10,0
44,0,23,10,0
45,0,23,10,0
46,0,23,10,0
47,0,23,10,0
48,0,23,10,0
49,0,23,10,0
50,0,23,10,0
51,0,23,10,0
52,0,23,10,0
53,0,23,10,0
54,0,23,10,0
55,0,23,10,0
56,0,22,10,1
57,0,22,10,1
58,0,22,10,1
59,0,22,10,1
60,0,22,10,1
61,0,22,10,1
62,0,22,10,1
63,0,22,10,1
64,0,22,10,1
65,0,22,10,1
66,0,22,10,1
67,0,22,10,1
68,0,22,10,1
69,0,22,10,1
70,0,22,10,1
71,0,22,10,1
72,0,22,10,1
73,0,22,10,1
74,0,22,10,1
75,0,22,10,1
76,0,22,10,1
77,0,22,10,1
78,0,22,10,1
79,0,22,10,1
80,0,22,10,1
81,0,22,10,1
82,0,22,10,1
83,0,22,10,1
84,0,22,10,1
85,0,22,10,1
86,0,22,10,1
87,0,22,10,1
88,0,22,10,1
89,0,22,10,1
90,0,22,10,1
91,0,22,10,1
92,0,22,10,1
93,0,22,10,1
94,0,22,10,1
95,0,22,10,1
96,0,22,10,1
97,0,22,10,1
98,0,22,10,1
99,0,22,10,1
100,0,22,10,1
101,0,22,10,1
102,0,22,10,1
103,0,22,10,1
104,0,22,10,1
105,0,22,10,1
106,0,22,10,1
107,0,22,10,1
108,0,22,10,1
109,0,22,10,1
110,0,22,10,1
111,0,22,10,1
112,0,22,10,1
113,0,22,10,1
114,0,22,10,1
115,0,22,10,1
116,0,22,10,1
117,0,22,10,1
118,0,22,10,1
119,0,22,10,1
120,0,22,10,1
121,0,22,10,1
122,0,22,10,1
123,0,22,10,1
124,0,22,10,1
125,0,22,10,1
126,0,22,10,1
127,0,22,10,1
128,0,22,10,1
129,0,22,10,1
130,0,22,10,1
131,0,22,10,1
132,0,22,10,1
133,0,22,10,1
134,0,22,10,1
135,0,22,10,1
136,0,22,10,1
137,0,22,10,1
138,0,22,10,1
139,0,22,10,1
140,0,22,10,1
141,0,22,10,1
142,0,22,10,1
143,0,22,10,1
144,0,22,10,1
145,0,22,10,1
146,0,22,10,1
147,0,22,10,1
148,0,22,10,1
149,0,22,10,1
150,0,22,10,1
151,0,22,10,1
152,0,22,10,1
153,0,22,10,1
154,0,22,10,1
155,0,22,10,1
156,0,22,10,1
157,0,22,10,1
158,0,22,10,1
159,0,22,10,1
160,0,22,10,1
161,0,22,10,1
162,0,22,10,1
163,0,22,10,1
164,0,22,10,1
165,0,22,10,1
166,0,22,10,1
167,0,22,10,1
168,0,22,10,1
169,0,22,10,1
170,0,22,10,1
171,0,22,10,1
172,0,22,10,1
173,0,21,10,2
174,0,21,10,2
175,0,21,10,2
176,0,21,10,2
177,0,21,10,2
178,0,21,10,2
179,0,21,10,2
180,0,21,10,2
181,0,21,10,2
182,0,21,10,2
183,0,21,10,2
184,0,21,10,2
185,0,21,10,2
186,0,21,10,2
187,0,21,10,2
188,0,21,10,2
189,0,21,10,2
190,0,21,10,2
191,0,21,10,2
192,0,21,10,2
193,0,21,10,2
194,0,21,10,2
195,0,21,10,2
196,0,21,10,2
197,0,21,10,2
198,0,21,10,2
199,0,21,10,2
200,0,21,10,2
201,0,21,10,2
202,0,21,10,2
203,0,21,10,2
204,0,21,10,2
205,0,21,10,2
206,0,21,10,2
207,0,21,10,2
208,0,21,10,2
209,0,21,10,2
210,0,21,10,2
211,0,21,10,2
212,0,21,10,2
213,0,21,10,2
214,0,21,10,2
215,0,21,10,2
216,0,21,10,2
217,0,21,10,2
218,0,21,10,2
219,0,21,10,2
220,0,21,10,2
221,0,21,10,2
222,0,21,10,2
223,0,21,10,2
224,0,21,10,2
225,0,21,10,2
226,0,21,10,2
227,0,21,10,2
228,0,21,10,2
229,0,21,10,2
230,0,21,10,2
231,0,21,10,2
232,0,21,10,2
233,0,21,10,2
234,0,21,10,2
235,0,21,10,2
236,0,21,10,2
237,0,21,10,2
238,0,21,10,2
239,0,21,10,2
240,0,21,10,2
241,0,21,10,2
242,0,21,10,2
243,0,21,10,2
244,0,21,10,2
245,0,21,10,2
246,0,21,10,2
247,0,21,10,2
248,0,21,10,2
249,0,21,10,2
250,0,21,10,2
251,0,21,10,2
252,0,21,10,2
253,0,21,10,2
254,0,21,10,2
255,0,21,10,2
256,0,21,10,2
257,0,21,10,2
258,0,21,10,2
259,0,21,10,2
260,0,21,10,2
261,0,21,10,2
262,0,21,10,2
263,0,21,10,2
264,0,21,10,2
265,0,21,10,2
266,0,21,10,2
267,0,21,10,2
268,0,21,10,2
269,0,21,10,2
270,0,21,10,2
271,0,21,10,2
272,0,21,10,2
273,0,21,10,2
274,0,21,10,2
275,0,21,10,2
276,0,21,10,2
277,0,21,10,2
278,0,21,10,2
279,0,21,10,2
280,0,21,10,2
281,0,21,10,2
282,0,21,10,2
283,0,21,10,2
284,0,21,10,2
285,0,21,10,2
286,0,21,10,2
287,0,21,10,2
288,0,21,10,2
289,0,21,10,2
290,0,21,10,2
291,0,21,10,2
292,0,21,10,2
293,0,21,10,2
294,0,21,10,2
295,0,21,10,2
296,0,21,10,2
297,0,21,10,2
298,0,21,10,2
299,0,21,10,2
300,0,21,10,2
301,0,21,10,2
302,0,21,10,2
303,0,21,10,2
304,0,21,10,2
305,0,21,10,2
306,0,21,10,2
307,0,21,10,2
308,0,21,10,2
309,0,21,10,2
310,0,21,10,2
311,0,21,10,2
312,0,21,10,2
313,0,21,10,2
314,0,21,10,2
315,0,21,10,2
316,0,21,10,2
317,0,21,10,2
318,0,21,10,2
319,0,21,10,2
320,0,21,10,2
321,0,21,10,2
322,0,21,10,2
323,0,21,10,2
324,0,21,10,2
325,0,21,10,2
326,0,21,10,2
327,0,21,10,2
328,0,21,10,2
329,0,21,10,2
330,0,21,10,2
331,0,21,10,2
332,0,21,10,2
333,0,21,10,2
334,0,21,10,2
335,0,21,10,2
336,0,21,10,2
337,0,21,10,2
338,0,21,10,2
339,0,21,10,2
340,0,21,10,2
341,0,21,10,2
342,0,21,10,2
343,0,21,10,2
344,0,21,10,2
345,0,21,10,2
346,0,21,10,2
347,0,21,10,2
348,0,21,10,2
349,0,21,10,2
350,0,21,10,2
351,0,21,10,2
352,0,21,10,2
353,0,21,10,2
354,0,21,10,2
355,0,21,10,2
356,0,21,10,2
357,0,21,10,2
358,0,21,10,2
359,0,21,10,2
360,0,20,11,3
361,0,19,12,4
362,0,19,12,4
363,0,19,12,4
364,0,19,12,4
365,0,19,12,4
366,0,19,12,4
367,0,19,12,4
368,0,19,12,4
369,0,19,12,4
370,0,19,12,4
371,0,19,12,4
372,0,19,12,4
373,0,19,12,4
374,0,19,12,4
375,0,19,12,4
376,0,19,12,4
377,0,19,12,4
378,0,19,12,4
379,0,19,12,4
380,0,19,12,4
381,0,19,12,4
382,0,19,12,4
383,0,19,12,4
384,0,19,12,4
385,0,19,12,4
386,0,19,12,4
387,0,19,12,4
388,0,19,12,4
389,0,19,12,4
390,0,19,12,4
391,0,19,12,4
392,0,19,12,4
393,0,19,12,4
394,0,19,12,4
395,0,19,12,4
396,0,19,12,4
397,0,19,12,4
398,0,19,12,4
399,0,19,12,4
400,0,19,12,4
401,0,19,12,4
402,0,19,12,4
403,0,19,12,4
404,0,19,12,4
405,0,19,12,4
406,0,19,12,4
407,0,19,12,4
408,0,19,12,4
409,0,19,12,4
410,0,19,12,4
411,0,19,12,4
412,0,19,12,4
413,0,19,12,4
414,0,19,12,4
415,0,19,12,4
416,0,19,12,4
417,0,19,12,4
418,0,19,12,4
419,0,19,12,4
420,0,19,12,4
421,0,19,12,4
422,0,19,12,4
423,0,19,12,4
424,0,19,12,4
425,0,19,12,4
426,0,19,12,4
427,0,19,12,4
428,0,19,12,4
429,0,19,12,4
430,0,19,12,4
431,0,19,12,4
432,0,19,12,4
433,0,19,12,4
434,0,19,12,4
435,0,19,12,4
436,0,19,12,4
437,0,19,12,4
438,0,19,12,4
439,0,19,12,4
440,0,19,12,4
441,0,19,12,4
442,0,18,13,5
443,0,18,13,5
444,0,18,13,5
445,0,18,13,5
446,0,18,13,5
447,0,18,13,5
448,0,18,13,5
449,0,18,13,5
450,0,18,13,5
451,0,18,13,5
452,0,18,13,5
453,0,18,13,5
454,0,18,13,5
455,0,18,13,5
456,0,18,13,5
457,0,18,13,5
458,0,18,13,5
459,0,18,13,5
460,0,18,13,5
461,0,18,13,5
462,0,18,13,5
463,0,18,13,5
464,0,18,13,5
