total,l1,l2,l3,l2r
1,0,15,12,0
2,0,15,12,0
3,0,15,12,0
4,0,15,12,0
5,0,15,12,0
6,0,15,12,0
7,0,15,12,0
8,0,15,12,0
9,0,15,12,0
10,0,15,12,0
11,0,15,12,0
12,0,15,12,0
13,0,15,12,0
14,0,15,12,0
15,0,15,12,0
16,0,15,12,0
17,0,15,12,0
18,0,15,12,0
19,0,15,12,0
20,0,15,12,0
21,0,15,12,0
22,0,15,12,0
23,0,15,12,0
24,0,15,12,0
25,0,15,12,0
26,0,15,12,0
27,0,15,12,0
28,0,15,12,0
29,0,15,12,0
30,0,15,12,0
31,0,15,12,0
32,0,15,12,0
33,0,15,12,0
34,0,15,12,0
35,0,15,12,0
36,0,15,12,0
37,0,15,12,0
38,0,15,12,0
39,0,14,12,1
40,0,14,12,1
41,0,14,12,1
42,0,14,12,1
43,0,14,12,1
44,0,14,12,1
45,0,14,12,1
46,0,14,12,1
47,0,14,12,1
48,0,14,12,1
49,0,14,12,1
50,0,14,12,1
51,0,14,12,1
52,0,14,12,1
53,0,14,12,1
54,0,14,12,1
55,0,14,12,1
56,0,14,12,1
57,0,14,12,1
58,0,14,12,1
59,0,14,12,1
60,0,14,12,1
61,0,14,12,1
62,0,14,12,1
63,0,14,12,1
64,0,14,12,1
65,0,14,12,1
66,0,14,12,1
67,0,14,12,1
68,0,14,12,1
69,0,14,12,1
70,0,14,12,1
71,0,14,12,1
72,0,14,12,1
73,0,14,12,1
74,0,14,12,1
75,0,14,12,1
76,0,14,12,1
77,0,14,12,1
78,0,14,12,1
79,0,14,12,1
80,0,14,12,1
81,0,14,12,1
82,0,14,12,1
83,0,14,12,1
84,0,14,12,1
85,0,14,12,1
86,0,14,12,1
87,0,14,12,1
88,0,14,12,1
89,0,14,12,1
90,0,14,12,1
91,0,14,12,1
92,0,14,12,1
93,0,14,12,1
94,0,14,12,1
95,0,14,12,1
96,0,14,12,1
97,0,14,12,1
98,0,14,12,1
99,0,14,12,1
100,0,14,12,1
101,0,14,12,1
102,0,14,12,1
103,0,14,12,1
104,0,14,12,1
105,0,14,12,1
106,0,14,12,1
107,0,14,12,1
108,0,14,12,1
109,0,14,12,1
110,0,14,12,1
111,0,14,12,1
112,0,14,12,1
113,0,14,12,1
114,0,14,12,1
115,0,14,12,1
116,0,14,12,1
117,0,14,12,1
118,0,14,12,1
119,0,14,12,1
120,0,14,12,1
121,0,14,12,1
122,0,14,12,1
123,0,14,12,1
124,0,14,12,1
125,0,14,12,1
126,0,14,12,1
127,0,14,12,1
128,0,14,12,1
129,0,14,12,1
130,0,14,12,1
131,0,14,12,1
132,0,14,12,1
133,0,14,12,1
134,0,14,12,1
135,0,14,12,1
136,0,14,12,1
137,0,14,12,1
138,0,14,12,1
